JuvenileNotoLunata,BigNotoLunata,SmallBuenoa,BigBuenoa,NotoUndulata,rsNewts,Hydrophilids,PredDivingBeetlesSmall,PredDivingBeetlesLarge,PredDivingBeetleLarvae,Leech,Mites,Ranatra,Belostomatid,BelostomatidJuvenile,Tadpoles,Aeschnid,Libellulid,Damselfly,Mayfly,Pleid,Corixid,date,time,area
2,45,0,0,0,28,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,early,day,littoral
0,17,0,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,early,day,open
0,13,0,0,0,8,4,0,1,0,18,0,0,0,0,2,2,0,1,1,0,0,early,night,littoral
0,4,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,early,night,open
0,34,0,0,0,32,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,early,day,littoral
0,16,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,early,day,open
0,18,0,0,0,5,11,3,1,0,6,1,0,1,0,0,1,0,0,1,0,0,early,night,littoral
0,6,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,early,night,open
19,48,0,0,0,13,3,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,early,day,littoral
0,7,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,early,day,open
4,14,0,0,0,4,22,1,0,0,6,1,2,1,0,3,0,0,1,6,1,1,early,night,littoral
0,11,0,0,0,1,1,0,0,0,2,3,0,0,0,1,0,0,0,1,0,0,early,night,open
3,28,0,0,1,18,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,early,day,littoral
1,10,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,early,day,open
7,7,0,0,0,1,8,2,1,0,3,2,4,2,0,4,1,0,3,0,0,0,early,night,littoral
2,5,0,0,0,4,1,0,0,0,2,2,0,0,0,0,0,0,0,3,1,0,early,night,open
6,12,0,0,0,53,1,0,0,0,0,1,0,0,0,3,0,0,1,0,0,1,early,day,littoral
0,10,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,early,day,open
5,6,0,0,0,12,7,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,early,night,littoral
0,1,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,early,night,open
19,10,0,0,0,33,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,early,day,littoral
2,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,early,day,open
9,5,0,0,0,12,9,1,1,0,0,0,1,0,0,3,0,0,1,1,0,0,early,night,littoral
2,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,early,night,open
33,8,1,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,early,day,littoral
0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,early,day,open
30,3,0,0,0,13,1,1,1,0,1,0,0,0,0,0,1,0,2,0,2,1,early,day,littoral
4,2,0,0,0,7,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,early,day,open
24,7,4,0,0,10,9,0,2,1,1,0,3,0,0,7,0,0,2,0,0,0,early,night,littoral
1,0,9,0,0,1,0,0,0,0,0,8,0,0,0,2,0,0,0,1,4,0,early,night,open
13,2,1,0,0,7,2,2,2,0,4,0,0,1,0,0,0,0,0,0,0,0,early,night,littoral
3,1,2,0,0,2,1,0,0,0,0,5,0,0,0,2,1,0,0,0,2,0,early,night,open
11,7,3,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,mid,day,edge
33,14,1,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,mid,day,littoral
2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,mid,day,open
10,4,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mid,day,edge
41,26,2,0,0,1,3,1,0,1,0,0,0,0,6,2,0,0,2,0,0,0,mid,day,littoral
9,8,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mid,day,open
16,1,1,0,0,0,3,1,0,1,1,0,0,2,0,1,1,0,0,0,1,1,mid,night,edge
14,21,0,0,0,0,14,4,0,0,1,0,4,3,0,4,0,0,0,0,1,0,mid,night,littoral
3,1,3,0,0,2,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,mid,night,open
16,4,2,0,0,3,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,mid,night,edge
8,13,4,1,0,0,7,2,1,0,1,0,2,0,0,2,0,0,1,0,0,0,mid,night,littoral
10,12,3,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mid,night,open
11,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mid,day,edge
44,3,0,4,0,2,3,3,0,0,0,0,0,0,0,7,1,0,2,0,0,0,mid,day,littoral
2,5,0,1,0,6,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,mid,day,open
7,2,0,0,0,1,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,mid,night,edge
35,2,0,0,0,0,6,3,0,1,2,0,3,3,1,4,0,0,1,0,1,0,mid,night,littoral
2,5,0,1,0,2,4,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,mid,night,open
5,4,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,mid,day,edge
20,4,0,3,0,2,4,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,mid,day,littoral
2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mid,day,open
7,1,0,0,0,2,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,mid,night,edge
18,1,0,0,2,7,5,3,1,0,0,0,0,0,2,2,1,0,0,0,0,1,mid,night,littoral
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mid,night,open
5,9,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,mid,day,edge
7,4,0,10,0,1,3,3,0,0,0,0,0,0,1,8,1,0,3,0,0,1,mid,day,littoral
2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mid,day,open
4,2,0,2,0,1,3,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,mid,night,edge
15,3,0,3,0,1,17,1,0,0,1,0,6,1,2,6,2,0,2,0,0,0,mid,night,littoral
0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,mid,night,open
4,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,mid,day,edge
6,19,2,7,0,0,2,4,0,0,0,0,1,0,2,10,0,0,0,0,0,1,mid,day,littoral
3,11,0,7,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,mid,day,open
3,5,1,3,0,1,1,0,0,0,0,0,0,0,1,1,2,2,2,0,0,1,mid,night,edge
5,20,1,6,0,0,5,5,1,0,0,0,7,3,3,4,1,0,1,0,1,1,mid,night,littoral
0,5,0,0,1,3,1,0,0,0,1,0,1,0,0,4,2,0,3,0,0,0,mid,night,open
2,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,mid,day,edge
6,78,4,8,0,0,1,0,0,1,0,0,0,0,3,5,1,0,0,0,0,0,mid,day,littoral
2,25,1,2,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,mid,day,open
3,13,2,0,0,0,3,1,0,0,1,0,0,0,0,2,0,0,1,0,0,1,mid,night,edge
1,27,2,2,0,0,8,3,0,0,0,0,0,1,1,7,0,0,0,0,0,0,mid,night,littoral
1,6,2,3,0,1,1,1,0,0,2,0,0,0,0,9,3,0,0,0,1,3,mid,night,open
0,18,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,mid,day,edge
4,52,7,11,0,0,0,0,0,1,0,0,0,0,0,2,2,0,2,0,2,1,mid,day,littoral
0,8,5,10,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,1,mid,day,open
0,14,17,0,0,0,0,2,0,0,2,2,3,0,0,6,2,0,1,0,1,3,mid,night,edge
5,14,16,3,1,1,4,3,0,0,1,0,2,0,0,3,2,2,0,0,2,0,mid,night,littoral
0,12,12,2,0,3,3,1,0,0,0,1,1,0,0,1,2,0,1,0,0,0,mid,night,open
0,14,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,late,day,edge
0,20,7,13,0,0,0,1,0,0,0,0,0,1,0,0,5,1,0,0,0,2,late,day,littoral
0,16,10,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,late,day,open
0,4,22,2,0,0,1,1,0,1,1,0,0,0,0,1,1,2,0,0,0,1,late,night,edge
2,6,6,5,0,0,4,7,3,0,0,1,0,1,0,2,4,0,0,0,0,1,late,night,littoral
0,4,12,12,0,3,3,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,late,night,open
3,15,6,9,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,late,day,edge
10,7,6,6,0,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,2,0,late,day,littoral
1,9,5,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,late,day,open
6,10,13,8,0,1,4,3,0,2,1,0,2,1,1,6,2,0,0,0,0,0,late,night,edge
7,9,10,5,0,1,3,10,0,1,1,0,0,0,1,2,4,0,0,0,1,0,late,night,littoral
0,7,5,2,0,4,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,late,night,open
0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,late,day,edge
3,4,4,31,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,late,day,littoral
0,7,1,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,late,day,open
0,1,0,4,0,0,4,1,0,0,0,0,0,0,0,5,0,0,0,0,2,0,late,night,edge
3,14,5,10,0,10,5,3,0,2,0,0,0,0,1,2,2,2,2,0,2,0,late,night,littoral
1,1,4,3,0,3,1,1,0,0,0,1,0,0,0,3,2,0,0,0,1,0,late,night,open
2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,late,day,edge
14,26,5,13,0,0,4,0,0,0,0,0,0,0,0,9,0,0,1,0,8,1,late,day,littoral
1,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,late,day,open
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,8,0,0,0,late,night,edge
6,18,0,11,0,5,2,28,0,0,2,0,0,0,0,6,0,0,0,0,1,0,late,night,littoral
2,6,0,3,0,3,0,3,0,0,1,0,0,0,0,0,2,0,0,0,3,1,late,night,open
3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,late,day,edge
6,10,1,47,0,0,1,1,0,0,0,0,0,0,0,6,1,1,3,0,1,0,late,day,littoral
1,2,0,26,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,1,0,late,day,open
5,1,0,3,0,2,5,0,0,0,0,0,0,0,0,2,1,0,4,0,2,1,late,night,edge
6,3,0,6,0,6,9,10,0,0,0,2,0,0,0,4,1,0,0,0,4,0,late,night,littoral
0,2,0,5,0,1,0,0,0,0,0,0,0,0,0,9,3,1,1,0,1,0,late,night,open
2,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,late,day,edge
6,6,0,61,0,0,8,5,0,0,0,0,0,0,0,3,1,0,3,0,1,0,late,day,littoral
2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,late,day,open
1,3,0,0,1,1,7,2,0,0,1,1,0,0,0,8,1,1,15,0,0,1,late,night,edge
3,0,0,7,0,0,2,9,0,0,0,0,0,0,0,2,1,1,14,0,8,0,late,night,littoral
0,2,0,7,0,1,1,1,0,0,0,0,0,0,0,1,3,0,8,0,0,0,late,night,open
