SITE,Code,Object,LAT,LONG,SHEDNAME
GA-A-028-117-97,MBSS_001,1,39.393,79.42,Youghiogheny River
GA-A-039-307-97,MBSS_002,2,39.651,79.385,Youghiogheny River
GA-A-050-201-97,MBSS_003,3,39.384,79.394,Youghiogheny River
GA-A-062-202-95,MBSS_004,4,39.719311,79.330231,Youghiogheny River
GA-A-062-203-97,MBSS_005,5,39.719,79.337,Youghiogheny River
GA-A-062-222-95,MBSS_006,6,39.714961,79.315981,Youghiogheny River
GA-A-094-303-97,MBSS_007,7,39.656,79.367,Youghiogheny River
GA-A-098-225-95,MBSS_008,8,39.598761,79.339669,Youghiogheny River
GA-A-107-209-97,MBSS_009,9,39.659,79.276,Youghiogheny River
GA-A-112-101-97,MBSS_010,10,39.576,79.376,Youghiogheny River
GA-A-128-217-95,MBSS_011,11,39.331981,79.418119,Youghiogheny River
GA-A-130-110-97,MBSS_012,12,39.699,79.313,Youghiogheny River
GA-A-141-213-95,MBSS_013,13,39.6216,79.281531,Youghiogheny River
GA-A-179-113-95,MBSS_014,14,39.716711,79.357489,Youghiogheny River
GA-A-181-303-95,MBSS_015,15,39.391489,79.468,Youghiogheny River
GA-A-185-309-95,MBSS_016,16,39.360311,79.445961,Youghiogheny River
GA-A-185-321-95,MBSS_017,17,39.363161,79.448211,Youghiogheny River
GA-A-195-203-95,MBSS_018,18,39.385989,79.375069,Youghiogheny River
GA-A-247-111-97,MBSS_019,19,39.672,79.334997,Youghiogheny River
GA-A-251-217-97,MBSS_020,20,39.704,79.449,Youghiogheny River
GA-A-268-222-97,MBSS_021,21,39.649,79.341,Youghiogheny River
GA-A-304-316-97,MBSS_022,22,39.616,79.351,Youghiogheny River
GA-A-309-215-97,MBSS_023,23,39.573,79.393,Youghiogheny River
GA-A-309-221-97,MBSS_024,24,39.567,79.423,Youghiogheny River
GA-A-326-106-95,MBSS_025,25,39.453831,79.407,Youghiogheny River
GA-A-343-319-97,MBSS_026,26,39.687,79.409,Youghiogheny River
GA-A-368-116-97,MBSS_027,27,39.551,79.389,Youghiogheny River
GA-A-373-220-95,MBSS_028,28,39.591539,79.353639,Youghiogheny River
GA-A-395-219-97,MBSS_029,29,39.714,79.347,Youghiogheny River
GA-A-409-102-97,MBSS_030,30,39.686,79.379,Youghiogheny River
GA-A-420-323-95,MBSS_031,31,39.464119,79.431919,Youghiogheny River
GA-A-420-325-95,MBSS_032,32,39.463811,79.42855,Youghiogheny River
GA-A-432-315-95,MBSS_033,33,39.650261,79.290589,Youghiogheny River
GA-A-432-320-95,MBSS_034,34,39.650731,79.296631,Youghiogheny River
GA-A-443-112-97,MBSS_035,35,39.494,79.467,Youghiogheny River
GA-A-457-114-95,MBSS_036,36,39.669619,79.277981,Youghiogheny River
GA-A-490-116-95,MBSS_037,37,39.396681,79.43055,Youghiogheny River
GA-A-490-119-95,MBSS_038,38,39.37685,79.451011,Youghiogheny River
GA-A-506-106-97,MBSS_039,39,39.656,79.466,Youghiogheny River
GA-A-518-220-97,MBSS_040,40,39.588,79.414,Youghiogheny River
GA-A-521-108-95,MBSS_041,41,39.703781,79.2885,Youghiogheny River
GA-A-542-304-97,MBSS_042,42,39.509997,79.431,Youghiogheny River
GA-A-542-308-97,MBSS_043,43,39.52,79.433,Youghiogheny River
GA-A-542-309-97,MBSS_044,44,39.512,79.431,Youghiogheny River
GA-A-547-108-97,MBSS_045,45,39.562,79.458,Youghiogheny River
GA-A-551-227-95,MBSS_046,46,39.620819,79.322111,Youghiogheny River
GA-A-560-201-95,MBSS_047,47,39.669311,79.450239,Youghiogheny River
GA-A-563-318-95,MBSS_048,48,39.463781,79.445681,Youghiogheny River
GA-A-002-312-96,MBSS_049,49,39.613461,79.047181,Savage River
GA-A-008-213-96,MBSS_050,50,39.634181,79.058689,Savage River
GA-A-022-215-96,MBSS_051,51,39.661589,79.028561,Savage River
GA-A-053-206-96,MBSS_052,52,39.6032,79.121831,Savage River
GA-A-076-209-96,MBSS_053,53,39.617761,79.068839,Savage River
GA-A-090-310-96,MBSS_054,54,39.5777,79.1674,Savage River
GA-A-105-317-96,MBSS_055,55,39.640061,79.0238,Savage River
GA-A-105-318-96,MBSS_056,56,39.636461,79.029461,Savage River
GA-A-121-210-96,MBSS_057,57,39.569169,79.120489,Savage River
GA-A-133-112-96,MBSS_058,58,39.494919,79.181739,Savage River
GA-A-159-202-96,MBSS_059,59,39.514661,79.160069,Savage River
GA-A-184-328-96,MBSS_060,60,39.579219,79.094511,Savage River
GA-A-276-106-96,MBSS_061,61,39.539481,79.208569,Savage River
GA-A-315-101-96,MBSS_062,62,39.62535,79.100719,Savage River
GA-A-372-129-96,MBSS_063,63,39.526289,79.184911,Savage River
GA-A-416-118-96,MBSS_064,64,39.549669,79.201519,Savage River
GA-A-512-214-96,MBSS_065,65,39.576,79.121089,Savage River
GA-A-558-211-96,MBSS_066,66,39.6597,79.00135,Savage River
GA-A-999-302-96,MBSS_067,67,39.554039,79.121211,Savage River
GA-A-030-213-97,MBSS_068,68,39.704,79.013,Casselman River
GA-A-059-216-97,MBSS_069,69,39.606,79.204,Casselman River
GA-A-059-225-97,MBSS_070,70,39.609997,79.196,Casselman River
GA-A-120-103-95,MBSS_071,71,39.6996,78.993111,Casselman River
GA-A-200-224-97,MBSS_072,72,39.631,79.191,Casselman River
GA-A-236-216-95,MBSS_073,73,39.7021,79.1701,Casselman River
GA-A-236-218-95,MBSS_074,74,39.709261,79.1692,Casselman River
GA-A-306-210-97,MBSS_075,75,39.714,79.14,Casselman River
GA-A-310-318-97,MBSS_076,76,39.669,79.206,Casselman River
GA-A-351-117-95,MBSS_077,77,39.715289,78.950311,Casselman River
GA-A-358-115-95,MBSS_078,78,39.707111,78.983669,Casselman River
GA-A-407-310-97,MBSS_079,79,39.647,79.226,Casselman River
GA-A-407-312-97,MBSS_080,80,39.632,79.226,Casselman River
GA-A-407-313-97,MBSS_081,81,39.634,79.226,Casselman River
GA-A-407-314-95,MBSS_082,82,39.651461,79.218161,Casselman River
GA-A-439-205-97,MBSS_083,83,39.593,79.211,Casselman River
GA-A-450-113-97,MBSS_084,84,39.71,79.114997,Casselman River
GA-A-453-310-95,MBSS_085,85,39.661689,79.1797,Casselman River
GA-A-493-109-95,MBSS_086,86,39.64425,79.178631,Casselman River
GA-A-505-210-95,MBSS_087,87,39.59285,79.253939,Casselman River
GA-A-505-218-97,MBSS_088,88,39.608,79.249,Casselman River
GA-A-511-322-95,MBSS_089,89,39.607181,79.240039,Casselman River
GA-A-545-301-95,MBSS_090,90,39.672739,79.196369,Casselman River
GA-A-545-302-97,MBSS_091,91,39.673,79.206,Casselman River
